Adversarial Victim Model Training Summary
=======================================================
Training type:    adversarial (FGSM)
Architecture:     densenet121
Epochs:           35 (trained 35)
Best epoch:       35
Batch size:       64
Learning rate:    0.0001
Weight decay:     1e-4
Dropout:          True
pos_weight:       True
Gradient clip:    5.0
FGSM epsilon:     0.02
Alpha (clean wt): 0.5

Final train_acc:  0.9999
Final val_acc:    0.9232
Final val_AUC:    0.7802
Final adv_val_AUC:0.8600
Memorization gap: +7.66%

Epoch    TrLoss    TrAcc    TrAUC    VlLoss    VlAcc    VlAUC   AdvLoss   AdvAcc   AdvAUC    Gap%
----------------------------------------------------------------------------------------------------
    1    0.7429   0.8577   0.6451    1.0053   0.9170   0.6808    1.3478   0.8700   0.2751   -5.93
    2    0.6526   0.8617   0.7638    0.6346   0.9032   0.7859    0.7102   0.8734   0.6851   -4.15
    3    0.6051   0.8656   0.8041    0.5941   0.8789   0.8065    0.6997   0.8879   0.7612   -1.33
    4    0.5590   0.8700   0.8209    0.6108   0.8573   0.8084    0.7270   0.8959   0.7751   +1.27
    5    0.4889   0.8742   0.8376    0.6633   0.9032   0.8084    2.3621   0.7949   0.6064   -2.90
    6    0.4307   0.8768   0.8611    0.6848   0.7947   0.7973    2.9206   0.8064   0.5919   +8.21
    7    0.4107   0.8797   0.8803    0.6716   0.8884   0.8072    2.4557   0.8161   0.6433   -0.87
    8    0.3768   0.8861   0.9016    0.6456   0.8724   0.8133    2.6684   0.7771   0.5673   +1.37
    9    0.3416   0.8960   0.9242    0.6721   0.8592   0.8132    2.1620   0.7476   0.5366   +3.68
   10    0.3115   0.9068   0.9432    0.7118   0.8428   0.8020    2.4512   0.7463   0.4935   +6.40
   11    0.2763   0.9202   0.9586    0.8787   0.8974   0.8006    2.6830   0.7670   0.4867   +2.28
   12    0.2446   0.9322   0.9698    0.9492   0.8991   0.8025    2.7917   0.7831   0.5060   +3.31
   13    0.2097   0.9443   0.9784    1.1359   0.9082   0.7982    3.0595   0.7936   0.4676   +3.61
   14    0.1761   0.9543   0.9849    1.2334   0.9079   0.7934    3.2506   0.7906   0.4341   +4.64
   15    0.1507   0.9635   0.9899    1.4577   0.9147   0.7954    3.9663   0.8110   0.4414   +4.88
   16    0.1232   0.9714   0.9934    1.6066   0.9130   0.7897    3.8839   0.8110   0.4384   +5.85
   17    0.1010   0.9777   0.9958    1.6890   0.9155   0.7844    3.5788   0.8243   0.4761   +6.21
   18    0.0792   0.9831   0.9974    1.8658   0.9165   0.7799    3.1812   0.8502   0.5644   +6.65
   19    0.0611   0.9873   0.9985    2.0221   0.9168   0.7844    3.3654   0.8489   0.5819   +7.04
   20    0.0505   0.9903   0.9991    2.1222   0.9177   0.7839    2.0095   0.8957   0.7653   +7.27
   21    0.0417   0.9926   0.9995    2.3592   0.9191   0.7774    1.3134   0.9235   0.8670   +7.35
   22    0.0323   0.9945   0.9997    2.2745   0.9156   0.7861    1.5060   0.9134   0.8499   +7.89
   23    0.0263   0.9961   0.9998    2.4562   0.9180   0.7830    1.3201   0.9233   0.8839   +7.81
   24    0.0205   0.9970   0.9999    2.8836   0.9223   0.7811    1.3397   0.9391   0.8997   +7.47
   25    0.0170   0.9978   0.9999    2.6948   0.9200   0.7815    1.4240   0.9336   0.8864   +7.78
   26    0.0131   0.9984   1.0000    2.6621   0.9174   0.7770    1.4554   0.9316   0.8804   +8.10
   27    0.0112   0.9988   1.0000    2.9796   0.9212   0.7798    1.5646   0.9391   0.8857   +7.76
   28    0.0090   0.9992   1.0000    2.9351   0.9198   0.7795    1.4869   0.9419   0.8966   +7.94
   29    0.0071   0.9994   1.0000    2.8741   0.9187   0.7821    1.3442   0.9439   0.9072   +8.07
   30    0.0061   0.9996   1.0000    2.9919   0.9190   0.7780    1.7406   0.9358   0.8751   +8.06
   31    0.0047   0.9997   1.0000    3.0949   0.9210   0.7804    1.8363   0.9375   0.8712   +7.87
   32    0.0043   0.9997   1.0000    3.2337   0.9209   0.7794    1.9077   0.9397   0.8757   +7.88
   33    0.0041   0.9998   1.0000    3.2008   0.9219   0.7793    1.8689   0.9399   0.8758   +7.79
   34    0.0036   0.9998   1.0000    3.2929   0.9228   0.7784    1.8370   0.9424   0.8841   +7.71
   35    0.0036   0.9999   1.0000    3.3282   0.9232   0.7802    2.1228   0.9376   0.8600   +7.66
